binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1,0.9.1,0.75.1,0.5.1,0.25.1,0.1.1,0.9,0.75,0.5,0.25,0.1
100,True,1.147396889790399,0,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
400,False,1.0,0,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
400,True,1.0591615956727518,0,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
20,False,0.9459721772889036,1,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
20,True,1.1779359430604983,1,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
100,False,0.8705920414105469,1,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
100,True,1.039792947266257,1,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
400,False,0.8372694920737627,1,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
400,True,0.8751213199611777,1,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
20,False,1.027616774633481,2,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
20,True,1.2451414933515172,2,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
100,False,1.1200136379133991,2,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
100,True,1.1455847255369929,2,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
400,False,1.0419365837026933,2,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
400,True,1.1309239686327992,2,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
20,False,0.8202170963364994,3,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
20,True,1.0932835820895523,3,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
100,False,0.7286295793758479,3,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
100,True,1.0145861601085482,3,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
400,False,0.7523744911804613,3,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
400,True,0.8073270013568521,3,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
20,False,0.6501742160278746,4,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
20,True,0.7637630662020906,4,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
100,False,0.6700348432055749,4,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
100,True,0.7519163763066203,4,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
400,False,0.7592334494773519,4,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
400,True,0.7731707317073171,4,LS_KDEx_MLP,9.0,1.0,0.9,19.0_110.0,bakery,,,,,,,,,,,,,,
20,False,0.3098041205724146,0,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
20,True,0.3191413782604283,0,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
100,False,0.3220338983050849,0,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
100,True,0.3112250076118948,0,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
400,False,1.0,0,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
400,True,0.3090429310869785,0,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
20,False,0.4191360928190655,1,LS_KDEx_MLP,9.0,1.0,0.9,2.0_101.0,bakery,,,,,,,,,,,,,,
