binSize,weightsByDistance,0.9,fold,model_name,cu,co,tau,variable,dataset_name,0.75,0.5,0.25,0.1,0.9,0.75,0.5,0.25,0.1
20,True,1.126008064516129,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
100,False,0.911290322580645,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
100,True,1.024193548387097,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
400,False,0.873991935483871,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
400,True,1.0161290322580645,4,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_CO,air,,,,,,,,,
20,False,0.783794897258547,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_NO2,air,,,,,,,,,
20,True,0.957991799304066,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_NO2,air,,,,,,,,,
100,False,0.699344021909901,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_NO2,air,,,,,,,,,
100,True,0.8729086091790383,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_NO2,air,,,,,,,,,
400,False,0.6755410558492997,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_NO2,air,,,,,,,,,
400,True,0.8177536920588248,0,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_NO2,air,,,,,,,,,
20,False,0.639048239384118,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_NO2,air,,,,,,,,,
20,True,0.7894284570773856,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_NO2,air,,,,,,,,,
100,False,0.5945286320795437,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_NO2,air,,,,,,,,,
100,True,0.712737488915222,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_NO2,air,,,,,,,,,
400,False,0.5938772787556796,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_NO2,air,,,,,,,,,
400,True,0.676116521616298,1,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_NO2,air,,,,,,,,,
20,False,0.6266818862212856,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_NO2,air,,,,,,,,,
20,True,0.8278852345233019,2,LS_KDEx_MLP,9.0,1.0,0.9,Location_2_max_NO2,air,,,,,,,,,
